category,product_type,schemes,scheme_count,missing_schemes,unusual_schemes,min_fee,max_fee,spread,source_file,valid_from,flags
"Аптека / Лекарственные препараты / Антибиотики, противомикробные и противопаразитарные средства","Антибиотики, противомикробные и противопаразитарные средства","DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты / Борьба с вредными привычками,Борьба с вредными привычками,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
"Аптека / Лекарственные препараты / Вакцины, сыворотки, фаги, токсины","Вакцины, сыворотки, фаги, токсины","DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Мототехника / Скутеры / Гольф-кары,Гольф-кары,"DBS=8%, EXPRESS=3%, FBS=8%, FBY=3%",4,,,3.0,8.0,5.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Мототехника / Мотоциклы / Квадроциклы,Квадроциклы,"DBS=8%, EXPRESS=3%, FBS=8%, FBY=3%",4,,,3.0,8.0,5.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные витамины,Лекарственные витамины,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты,Лекарственные препараты,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Мототехника / Скутеры / Мопеды,Мопеды,"DBS=8%, EXPRESS=3%, FBS=8%, FBY=3%",4,,,3.0,8.0,5.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Мототехника / Мотоциклы / Мототехника,Мототехника,"DBS=8%, EXPRESS=3%, FBS=8%, FBY=3%",4,,,3.0,8.0,5.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Мототехника / Мотоциклы,Мотоциклы,"DBS=8%, EXPRESS=3%, FBS=8%, FBY=3%",4,,,3.0,8.0,5.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты / Мочеполовая система и половые гормоны,Мочеполовая система и половые гормоны,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты / Противоопухолевые препараты и иммуномодуляторы,Противоопухолевые препараты и иммуномодуляторы,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты / Системные гормональные препараты,Системные гормональные препараты,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Мототехника / Скутеры,Скутеры,"DBS=8%, EXPRESS=3%, FBS=8%, FBY=3%",4,,,3.0,8.0,5.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Мототехника / Скутеры / Скутеры,Скутеры,"DBS=8%, EXPRESS=3%, FBS=8%, FBY=3%",4,,,3.0,8.0,5.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Мототехника / Скутеры / Скутеры / Скутеры,Скутеры,"DBS=8%, EXPRESS=3%, FBS=8%, FBY=3%",4,,,3.0,8.0,5.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Мототехника / Снегоходы,Снегоходы,"DBS=8%, EXPRESS=3%, FBS=8%, FBY=3%",4,,,3.0,8.0,5.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Мототехника / Снегоходы / Снегоходы,Снегоходы,"DBS=8%, EXPRESS=3%, FBS=8%, FBY=3%",4,,,3.0,8.0,5.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты / Средства для вен,Средства для вен,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты / Средства для глаз и ушей,Средства для глаз и ушей,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты / Средства для зубов и полости рта,Средства для зубов и полости рта,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты / Средства для кожи,Средства для кожи,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты / Средства для нервной системы,Средства для нервной системы,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты / Средства для пищеварения,Средства для пищеварения,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты / Средства для сердца и сосудов,Средства для сердца и сосудов,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
